Char Dec Hex   Entity                     Name
     160 00A0 &nbsp;   NO-BREAK SPACE
¡    161 00A1 &iexcl;  INVERTED EXCLAMATION MARK
¢    162 00A2 &cent;   CENT SIGN
£    163 00A3 &pound;  POUND SIGN
¤    164 00A4 &curren; CURRENCY SIGN
¥    165 00A5 &yen;    YEN SIGN
¦    166 00A6 &brvbar; BROKEN BAR
§    167 00A7 &sect;   SECTION SIGN
¨    168 00A8 &uml;    DIAERESIS
©    169 00A9 &copy;   COPYRIGHT SIGN
ª    170 00AA &ordf;   FEMININE ORDINAL INDICATOR
«    171 00AB &laquo;  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
¬    172 00AC &not;    NOT SIGN
     173 00AD &shy;    SOFT HYPHEN
®    174 00AE &reg;    REGISTERED SIGN
¯    175 00AF &macr;   MACRON
°    176 00B0 &deg;    DEGREE SIGN
±    177 00B1 &plusmn; PLUS-MINUS SIGN
²    178 00B2 &sup2;   SUPERSCRIPT TWO
³    179 00B3 &sup3;   SUPERSCRIPT THREE
´    180 00B4 &acute;  ACUTE ACCENT
µ    181 00B5 &micro;  MICRO SIGN
¶    182 00B6 &para;   PILCROW SIGN
·    183 00B7 &middot; MIDDLE DOT
¸    184 00B8 &cedil;  CEDILLA
¹    185 00B9 &sup1;   SUPERSCRIPT ONE
º    186 00BA &ordm;   MASCULINE ORDINAL INDICATOR
»    187 00BB &raquo;  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
¼    188 00BC &frac14; VULGAR FRACTION ONE QUARTER
½    189 00BD &frac12; VULGAR FRACTION ONE HALF
¾    190 00BE &frac34; VULGAR FRACTION THREE QUARTERS
¿    191 00BF &iquest; INVERTED QUESTION MARK
À    192 00C0 &Agrave; LATIN CAPITAL LETTER A WITH GRAVE
Á    193 00C1 &Aacute; LATIN CAPITAL LETTER A WITH ACUTE
Â    194 00C2 &Acirc;  LATIN CAPITAL LETTER A WITH CIRCUMFLEX
Ã    195 00C3 &Atilde; LATIN CAPITAL LETTER A WITH TILDE
Ä    196 00C4 &Auml;   LATIN CAPITAL LETTER A WITH DIAERESIS
Å    197 00C5 &Aring;  LATIN CAPITAL LETTER A WITH RING ABOVE
Æ    198 00C6 &AElig;  LATIN CAPITAL LETTER AE
Ç    199 00C7 &Ccedil; LATIN CAPITAL LETTER C WITH CEDILLA
È    200 00C8 &Egrave; LATIN CAPITAL LETTER E WITH GRAVE
É    201 00C9 &Eacute; LATIN CAPITAL LETTER E WITH ACUTE
Ê    202 00CA &Ecirc;  LATIN CAPITAL LETTER E WITH CIRCUMFLEX
Ë    203 00CB &Euml;   LATIN CAPITAL LETTER E WITH DIAERESIS
Ì    204 00CC &Igrave; LATIN CAPITAL LETTER I WITH GRAVE
Í    205 00CD &Iacute; LATIN CAPITAL LETTER I WITH ACUTE
Î    206 00CE &Icirc;  LATIN CAPITAL LETTER I WITH CIRCUMFLEX
