Char Dec Hex  Entity                     Name
ʰ    688 02B0         MODIFIER LETTER SMALL H
ʱ    689 02B1         MODIFIER LETTER SMALL H WITH HOOK
ʲ    690 02B2         MODIFIER LETTER SMALL J
ʳ    691 02B3         MODIFIER LETTER SMALL R
ʴ    692 02B4         MODIFIER LETTER SMALL TURNED R
ʵ    693 02B5         MODIFIER LETTER SMALL TURNED R WITH HOOK
ʶ    694 02B6         MODIFIER LETTER SMALL CAPITAL INVERTED R
ʷ    695 02B7         MODIFIER LETTER SMALL W
ʸ    696 02B8         MODIFIER LETTER SMALL Y
ʹ    697 02B9         MODIFIER LETTER PRIME
ʺ    698 02BA         MODIFIER LETTER DOUBLE PRIME
ʻ    699 02BB         MODIFIER LETTER TURNED COMMA
ʼ    700 02BC         MODIFIER LETTER APOSTROPHE
ʽ    701 02BD         MODIFIER LETTER REVERSED COMMA
ʾ    702 02BE         MODIFIER LETTER RIGHT HALF RING
ʿ    703 02BF         MODIFIER LETTER LEFT HALF RING
ˀ    704 02C0         MODIFIER LETTER GLOTTAL STOP
ˁ    705 02C1         MODIFIER LETTER REVERSED GLOTTAL STOP
˂    706 02C2         MODIFIER LETTER LEFT ARROWHEAD
˃    707 02C3         MODIFIER LETTER RIGHT ARROWHEAD
˄    708 02C4         MODIFIER LETTER UP ARROWHEAD
˅    709 02C5         MODIFIER LETTER DOWN ARROWHEAD
ˆ    710 02C6 &circ;  MODIFIER LETTER CIRCUMFLEX ACCENT
ˇ    711 02C7         CARON
ˈ    712 02C8         MODIFIER LETTER VERTICAL LINE
ˉ    713 02C9         MODIFIER LETTER MACRON
ˊ    714 02CA         MODIFIER LETTER ACUTE ACCENT
ˋ    715 02CB         MODIFIER LETTER GRAVE ACCENT
ˌ    716 02CC         MODIFIER LETTER LOW VERTICAL LINE
ˍ    717 02CD         MODIFIER LETTER LOW MACRON
ˎ    718 02CE         MODIFIER LETTER LOW GRAVE ACCENT
ˏ    719 02CF         MODIFIER LETTER LOW ACUTE ACCENT
ː    720 02D0         MODIFIER LETTER TRIANGULAR COLON
ˑ    721 02D1         MODIFIER LETTER HALF TRIANGULAR COLON
˒    722 02D2         MODIFIER LETTER CENTRED RIGHT HALF RING
˓    723 02D3         MODIFIER LETTER CENTRED LEFT HALF RING
˔    724 02D4         MODIFIER LETTER UP TACK
˕    725 02D5         MODIFIER LETTER DOWN TACK
˖    726 02D6         MODIFIER LETTER PLUS SIGN
˗    727 02D7         MODIFIER LETTER MINUS SIGN
˘    728 02D8         BREVE
˙    729 02D9         DOT ABOVE
˚    730 02DA         RING ABOVE
˛    731 02DB         OGONEK
˜    732 02DC &tilde; SMALL TILDE
˝    733 02DD         DOUBLE ACUTE ACCENT
˞    734 02DE         MODIFIER LETTER RHOTIC HOOK
˟    735 02DF         MODIFIER LETTER CROSS ACCENT
ˠ    736 02E0         MODIFIER LETTER SMALL GAMMA
ˡ    737 02E1         MODIFIER LETTER SMALL L
ˢ    738 02E2         MODIFIER LETTER SMALL S
ˣ    739 02E3         MODIFIER LETTER SMALL X
ˤ    740 02E4         MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
˥    741 02E5         MODIFIER LETTER EXTRA-HIGH TONE BAR
˦    742 02E6         MODIFIER LETTER HIGH TONE BAR
˧    743 02E7         MODIFIER LETTER MID TONE BAR
˨    744 02E8         MODIFIER LETTER LOW TONE BAR
˩    745 02E9         MODIFIER LETTER EXTRA-LOW TONE BAR
˪    746 02EA         MODIFIER LETTER YIN DEPARTING TONE MARK
˫    747 02EB         MODIFIER LETTER YANG DEPARTING TONE MARK
ˬ    748 02EC         MODIFIER LETTER VOICING
˭    749 02ED         MODIFIER LETTER UNASPIRATED
ˮ    750 02EE         MODIFIER LETTER DOUBLE APOSTROPHE
˯    751 02EF         MODIFIER LETTER LOW DOWN ARROWHEAD
˰    752 02F0         MODIFIER LETTER LOW UP ARROWHEAD
˱    753 02F1         MODIFIER LETTER LOW LEFT ARROWHEAD
˲    754 02F2         MODIFIER LETTER LOW RIGHT ARROWHEAD
˳    755 02F3         MODIFIER LETTER LOW RING
˴    756 02F4         MODIFIER LETTER MIDDLE GRAVE ACCENT
˵    757 02F5         MODIFIER LETTER MIDDLE DOUBLE GRAVE ACCENT
˶    758 02F6         MODIFIER LETTER MIDDLE DOUBLE ACUTE ACCENT
˷    759 02F7         MODIFIER LETTER LOW TILDE
˸    760 02F8         MODIFIER LETTER RAISED COLON
˹    761 02F9         MODIFIER LETTER BEGIN HIGH TONE
˺    762 02FA         MODIFIER LETTER END HIGH TONE
˻    763 02FB         MODIFIER LETTER BEGIN LOW TONE
˼    764 02FC         MODIFIER LETTER END LOW TONE
˽    765 02FD         MODIFIER LETTER SHELF
˾    766 02FE         MODIFIER LETTER OPEN SHELF
˿    767 02FF         MODIFIER LETTER LOW LEFT ARROW

