U+2596  ▖       e2 96 96        quadrant lower left
U+2597  ▗       e2 96 97        quadrant lower right
U+2598  ▘       e2 96 98        quadrant upper left
U+2599  ▙       e2 96 99        quadrant upper left and lower left and lower right
U+259A  ▚       e2 96 9a        quadrant upper left and lower right
U+259B  ▛       e2 96 9b        quadrant upper left and upper right and lower left
U+259C  ▜       e2 96 9c        quadrant upper left and upper right and lower right
U+259D  ▝       e2 96 9d        quadrant upper right
U+259E  ▞       e2 96 9e        quadrant upper right and lower left
U+259F  ▟       e2 96 9f        quadrant upper right and lower left and lower right
U+25D4  ◔       e2 97 94        circle with upper right quadrant black
U+25D5  ◕       e2 97 95        circle with all but upper left quadrant black
U+25DC  ◜       e2 97 9c        upper left quadrant circular arc
U+25DD  ◝       e2 97 9d        upper right quadrant circular arc
U+25DE  ◞       e2 97 9e        lower right quadrant circular arc
U+25DF  ◟       e2 97 9f        lower left quadrant circular arc
U+25F0  ◰       e2 97 b0        white square with upper left quadrant
U+25F1  ◱       e2 97 b1        white square with lower left quadrant
U+25F2  ◲       e2 97 b2        white square with lower right quadrant
U+25F3  ◳       e2 97 b3        white square with upper right quadrant
U+25F4  ◴       e2 97 b4        white circle with upper left quadrant
U+25F5  ◵       e2 97 b5        white circle with lower left quadrant
U+25F6  ◶       e2 97 b6        white circle with lower right quadrant
U+25F7  ◷       e2 97 b7        white circle with upper right quadrant
