Char Dec  Hex  Entity                         Name
←    8592 2190 &larr;  LEFTWARDS ARROW
↑    8593 2191 &uarr;  UPWARDS ARROW
→    8594 2192 &rarr;  RIGHTWARDS ARROW
↓    8595 2193 &darr;  DOWNWARDS ARROW
↔    8596 2194 &harr;  LEFT RIGHT ARROW
↕    8597 2195         UP DOWN ARROW
↖    8598 2196         NORTH WEST ARROW
↗    8599 2197         NORTH EAST ARROW
↘    8600 2198         SOUTH EAST ARROW
↙    8601 2199         SOUTH WEST ARROW
↚    8602 219A         LEFTWARDS ARROW WITH STROKE
↛    8603 219B         RIGHTWARDS ARROW WITH STROKE
↜    8604 219C         LEFTWARDS WAVE ARROW
↝    8605 219D         RIGHTWARDS WAVE ARROW
↞    8606 219E         LEFTWARDS TWO HEADED ARROW
↟    8607 219F         UPWARDS TWO HEADED ARROW
↠    8608 21A0         RIGHTWARDS TWO HEADED ARROW
↡    8609 21A1         DOWNWARDS TWO HEADED ARROW
↢    8610 21A2         LEFTWARDS ARROW WITH TAIL
↣    8611 21A3         RIGHTWARDS ARROW WITH TAIL
↤    8612 21A4         LEFTWARDS ARROW FROM BAR
↥    8613 21A5         UPWARDS ARROW FROM BAR
↦    8614 21A6         RIGHTWARDS ARROW FROM BAR
↧    8615 21A7         DOWNWARDS ARROW FROM BAR
↨    8616 21A8         UP DOWN ARROW WITH BASE
↩    8617 21A9         LEFTWARDS ARROW WITH HOOK
↪    8618 21AA         RIGHTWARDS ARROW WITH HOOK
↫    8619 21AB         LEFTWARDS ARROW WITH LOOP
↬    8620 21AC         RIGHTWARDS ARROW WITH LOOP
↭    8621 21AD         LEFT RIGHT WAVE ARROW
↮    8622 21AE         LEFT RIGHT ARROW WITH STROKE
↯    8623 21AF         DOWNWARDS ZIGZAG ARROW
↰    8624 21B0         UPWARDS ARROW WITH TIP LEFTWARDS
↱    8625 21B1         UPWARDS ARROW WITH TIP RIGHTWARDS
↲    8626 21B2         DOWNWARDS ARROW WITH TIP LEFTWARDS
↳    8627 21B3         DOWNWARDS ARROW WITH TIP RIGHTWARDS
↴    8628 21B4         RIGHTWARDS ARROW WITH CORNER DOWNWARDS
↵    8629 21B5 &crarr; DOWNWARDS ARROW WITH CORNER LEFTWARDS
↶    8630 21B6         ANTICLOCKWISE TOP SEMICIRCLE ARROW
↷    8631 21B7         CLOCKWISE TOP SEMICIRCLE ARROW
↸    8632 21B8         NORTH WEST ARROW TO LONG BAR
↹    8633 21B9         LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
↺    8634 21BA         ANTICLOCKWISE OPEN CIRCLE ARROW
↻    8635 21BB         CLOCKWISE OPEN CIRCLE ARROW
↼    8636 21BC         LEFTWARDS HARPOON WITH BARB UPWARDS
↽    8637 21BD         LEFTWARDS HARPOON WITH BARB DOWNWARDS
↾    8638 21BE         UPWARDS HARPOON WITH BARB RIGHTWARDS
↿    8639 21BF         UPWARDS HARPOON WITH BARB LEFTWARDS
⇀    8640 21C0         RIGHTWARDS HARPOON WITH BARB UPWARDS
⇁    8641 21C1         RIGHTWARDS HARPOON WITH BARB DOWNWARDS
