Char Dec Hex   Entity                          Name
ƀ    384 0180          LATIN SMALL LETTER B WITH STROKE
Ɓ    385 0181          LATIN CAPITAL LETTER B WITH HOOK
Ƃ    386 0182          LATIN CAPITAL LETTER B WITH TOPBAR
ƃ    387 0183          LATIN SMALL LETTER B WITH TOPBAR
Ƅ    388 0184          LATIN CAPITAL LETTER TONE SIX
ƅ    389 0185          LATIN SMALL LETTER TONE SIX
Ɔ    390 0186          LATIN CAPITAL LETTER OPEN O
Ƈ    391 0187          LATIN CAPITAL LETTER C WITH HOOK
ƈ    392 0188          LATIN SMALL LETTER C WITH HOOK
Ɖ    393 0189          LATIN CAPITAL LETTER AFRICAN D
Ɗ    394 018A          LATIN CAPITAL LETTER D WITH HOOK
Ƌ    395 018B          LATIN CAPITAL LETTER D WITH TOPBAR
ƌ    396 018C          LATIN SMALL LETTER D WITH TOPBAR
ƍ    397 018D          LATIN SMALL LETTER TURNED DELTA
Ǝ    398 018E          LATIN CAPITAL LETTER REVERSED E
Ə    399 018F          LATIN CAPITAL LETTER SCHWA
Ɛ    400 0190          LATIN CAPITAL LETTER OPEN E
Ƒ    401 0191          LATIN CAPITAL LETTER F WITH HOOK
ƒ    402 0192 &fnof;   LATIN SMALL LETTER F WITH HOOK
Ɠ    403 0193          LATIN CAPITAL LETTER G WITH HOOK
Ɣ    404 0194          LATIN CAPITAL LETTER GAMMA
ƕ    405 0195          LATIN SMALL LETTER HV
Ɩ    406 0196          LATIN CAPITAL LETTER IOTA
Ɨ    407 0197          LATIN CAPITAL LETTER I WITH STROKE
Ƙ    408 0198          LATIN CAPITAL LETTER K WITH HOOK
ƙ    409 0199          LATIN SMALL LETTER K WITH HOOK
ƚ    410 019A          LATIN SMALL LETTER L WITH BAR
ƛ    411 019B          LATIN SMALL LETTER LAMBDA WITH STROKE
Ɯ    412 019C          LATIN CAPITAL LETTER TURNED M
Ɲ    413 019D          LATIN CAPITAL LETTER N WITH LEFT HOOK
ƞ    414 019E          LATIN SMALL LETTER N WITH LONG RIGHT LEG
Ɵ    415 019F          LATIN CAPITAL LETTER O WITH MIDDLE TILDE
Ơ    416 01A0          LATIN CAPITAL LETTER O WITH HORN
ơ    417 01A1          LATIN SMALL LETTER O WITH HORN
Ƣ    418 01A2          LATIN CAPITAL LETTER OI
ƣ    419 01A3          LATIN SMALL LETTER OI
Ƥ    420 01A4          LATIN CAPITAL LETTER P WITH HOOK
ƥ    421 01A5          LATIN SMALL LETTER P WITH HOOK
Ʀ    422 01A6          LATIN LETTER YR
Ƨ    423 01A7          LATIN CAPITAL LETTER TONE TWO
ƨ    424 01A8          LATIN SMALL LETTER TONE TWO
Ʃ    425 01A9          LATIN CAPITAL LETTER ESH
ƪ    426 01AA          LATIN LETTER REVERSED ESH LOOP
ƫ    427 01AB          LATIN SMALL LETTER T WITH PALATAL HOOK
Ƭ    428 01AC          LATIN CAPITAL LETTER T WITH HOOK
ƭ    429 01AD          LATIN SMALL LETTER T WITH HOOK
Ʈ    430 01AE          LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
Ư    431 01AF          LATIN CAPITAL LETTER U WITH HORN
ư    432 01B0          LATIN SMALL LETTER U WITH HORN
Ʊ    433 01B1          LATIN CAPITAL LETTER UPSILON
Ʋ    434 01B2          LATIN CAPITAL LETTER V WITH HOOK
