um_a              ₐ
um_e              ₑ
um_o              ₒ
um_x              ₓ
um_inve           ₔ
um_0              ₀
um_1              ₁
um_2              ₂
um_3              ₃
um_4              ₄
um_5              ₅
um_6              ₆
um_7              ₇
um_8              ₈
um_9              ₉
um_add            ₊
um_sub            ₋
um_eq             ₌
um_lparentheses   ₍
um_rparentheses   ₎
umsup0            ⁰
umsup1            ¹
umsup2            ²
umsup3            ³
umsup4            ⁴
umsup5            ⁵
umsup6            ⁶
umsup7            ⁷
umsup8            ⁸
umsup9            ⁹
umsupi            ⁱ
umsupn            ⁿ
umsupadd          ⁺
umsupsub          ⁻
umsupeq           ⁼
umsuplparentheses ⁽
umsuprparentheses ⁾
umall             ∀
umexist           ∃
umelt             ∈
umempty           ∅
umnoelt           ∉
umsubset          ⊂
umsubseteq        ⊆
umsuperset        ⊃
umsuperseteq      ⊇
umnosubset        ⊄
umintersect       ⋂
umunion           ⋃
umnoeq            ≠
umle              ≤
umge              ≥
umalmosteq        ≈
umidentical       ≡
umstruckN         ℕ
umstruckZ         ℤ
umstruckC         ℚ
umstruckR         ℝ
umstruckC         ℂ
umceiling         ⌈⌉
umfloor           ⌊⌋
umsum             ∑
umintegral        ∫
umcirx            ⊗
umcirplus         ⊕
umcirdot          ⊙
umpartialdiff     ∂
umroot            √
umcoloneq         ≔
umplusminus       ±
umsymbol          ℵ
uminf             ∞
umprime           ′
umdegree          °
umscriptl         ℓ
umnot             ¬
umand             ∧
umor              ∨
umbecause         ∵
umtherefore       ∴
umgreekalpha_u    Α
umgreekbeta_u     Β
umgreekgamma_u    Γ
umgreekdelta_u    Δ
umgreekepsilon_u  Ε
umgreekzeta_u     Ζ
umgreeketa_u      Η
umgreektheta_u    Θ
umgreekiota_u     Ι
umgreekkappa_u    Κ
umgreeklambda_u   Λ
umgreekmu_u       Μ
umgreeknu_u       Ν
umgreekxi_u       Ξ
umgreekomicron_u  Ο
umgreekpi_u       Π
umgreekrho_u      Ρ
umgreeksigma_u    Σ
umgreektau_u      Τ
umgreekupsilon_u  Υ
umgreekphi_u      Φ
umgreekchi_u      Χ
umgreekpsi_u      Ψ
umgreekomega_u    Ω
umgreekalpha      α
umgreekbeta       β
umgreekgamma      γ
umgreekdelta      δ
umgreekepsilon    ε
umgreekzeta       ζ
umgreeketa        η
umgreektheta      θ
umgreekiota       ι
umgreekkappa      κ
umgreeklambda     λ
umgreekmu         μ
umgreeknu         ν
umgreekxi         ξ
umgreekomicron    ο
umgreekpi         π
umgreekrho        ρ
umgreeksigma      σ
umgreektau        τ
umgreekupsilon    υ
umgreekphi        φ
umgreekchi        χ
umgreekpsi        ψ
umgreekomega      ω
